ticker,company_name,fundamental_score,sin_score_motivo,base_periodos,tier,quality,price_currency,financial_currency,fx_applied,fx_reliable,per_share_reliable,shares_price_ratio,coherence_issues,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,dist_ma50_pct,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,pe_eps_usado,pe_ancla,pe_sin_ancla_motivo,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,ai_descartados,piotroski_evaluables,piotroski_motivo,interest_coverage,interest_coverage_base,interest_coverage_ebit,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_fecha_conocida,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,hv_30d,atm_iv,iv_ratio,iv_premium_pts,analyzed_at,market,pe_ancla_n,pe_ancla_dispersion,pe_ancla_fragil,dcf_no_aplicable,acciones_efectivas,per_share_no_fiable,pe_ancla_excluidos,shares_change_es_gasto,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,eu_insider_bonus,market_regime,modelos_dispersion_pts,modelos_acuerdo,upside_triangulated_pct,upside_divergence_pts,upside_divergence,ai_verdict,ai_confidence,ai_reasoning,ai_verified,data_warning,verified_by,why_cheap,why_cheap_resumen,why_cheap_fuentes,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing,rr_operativo,is_stage2,ma_score,atr_ratio,volume_dryup,pct_from_52w_high,pct_from_52w_low,relative_strength_6m,trend_direction,tech_stage,entry_readiness,entry_readiness_reason,tasa_base_frase,tasa_base_n,tasa_base_caida_mediana_pct,tasa_base_caida_peor_pct,tasa_base_arriba_pct,tasa_base_bimodal,soporte_frase,soporte_nivel,soporte_distancia_pct,soporte_dias,soporte_aguanto,soporte_roto,soporte_antiguo
SU.PA,Schneider Electric S.E.,60.8,,anual,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,1.0,,70.0,50.0,50.0,75.0,60.0,,,,,1.4,False,0,5.2,False,0,"{'eps_growth_yoy': 1.4, 'op_growth_yoy': 6.7, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 11.3, 'score_bruto_sin_capar': 70.0, 'satura': False}","{'revenue_growth_yoy': 5.2, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.6, 'debt_to_equity': 0.84, 'current_ratio': 1.09, 'operating_margin_pct': 18.2}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 12.3}",293.35,165244403712,Industrials,Specialty Industrial Machinery,,,False,312.3,-6.1,0,False,,329.51,370.0,262.0,24,strong_buy,12.3,159.24,-45.7,234.33,-20.1,reportado,múltiplo propio,,3.45,10.12,1.42,49.5,4.2,1.76,,,,9,,,,,29.3,154.0,2027-02-25,False,True,False,6,NEUTRAL,3.86,77.8,0.82,35.6,,,,2026-09-24T05:18:00.601117,CAC40,4.0,0.41,False,,,,,,46.3,3.0,0.0,0.0,5.0,1.54,0.0,CONFIRMED_UPTREND,25.6,DISPERSOS,-20.1,45.2,ALTA,BUY,85,"Upside is modest and realistic, fundamentals exceed quality thresholds (ROE 18.6%, margin 11.3%, debt/equity 0.84), and many analysts support the target price.",True,,groq,,,,273.87,263.13,329.51,3.92,20.32,"CAUTION - Already above entry point, wait for pullback",5.18,True,3,1.143,False,-5.54,35.94,14.8,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado,"las 45 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 10% de mediana (peor caso -34%); al año el 71% estaba en positivo (mediana +16%).",45,-9.9,-34.4,71,False,"soporte vivo más cercano en 290.20 (-1.6%), puesto a prueba hace 13 días; aguantó 2 y se rompió 1",290.2,-1.6,13,2,1,False
RACE.MI,Ferrari N.V.,75.5,,trimestral,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,95.0,70.0,50.0,90.0,60.0,,,,,9.0,True,2,8.4,True,2,"{'eps_growth_yoy': 9.0, 'op_growth_yoy': 9.5, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 22.2, 'score_bruto_sin_capar': 95.0, 'satura': False}","{'revenue_growth_yoy': 8.4, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 45.4, 'debt_to_equity': 0.86, 'current_ratio': 2.43, 'operating_margin_pct': 31.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.4}",365.0,64097558528,Consumer Cyclical,Auto Manufacturers,,,False,431.2,-15.4,0,False,,388.39,430.4,330.0,19,buy,6.4,211.42,-42.1,376.28,3.1,reportado,múltiplo propio,,2.28,8.32,1.0,39.0,3.62,0.68,True,-1.38,,9,,63.9,Operating Income,63.9,10.1,40.0,2026-11-03,False,True,False,9,STRONG,3.18,46.7,3.28,21.9,,,,2026-09-24T05:18:15.949960,FTSEMIB,4.0,0.31,False,,,,,,48.2,0.0,0.0,3.0,3.0,0.8,0.0,CONFIRMED_UPTREND,45.2,CONTRADICEN,,48.5,ALTA,BUY,85,"Upside is modest and realistic; ROE, net margin and debt/equity are all strong; ample analyst coverage supports the target; no red flags detected.",True,,groq,,,,351.29,337.51,388.39,3.92,10.56,"CAUTION - Already above entry point, wait for pullback",2.69,True,3,0.965,False,-15.35,35.69,19.52,uptrend,stage2,ENTRADA,Stage 2: sobre MA200 ascendente sin sobreextensión — suelo confirmado,"las 35 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 9% de mediana (peor caso -37%); al año el 86% estaba en positivo (mediana +19%).",35,-8.6,-37.2,86,False,"soporte vivo más cercano en 352.80 (-2.2%), puesto a prueba hace 21 días; aguantó 2 y se rompió 2",352.8,-2.2,21,2,2,False
HLMA.L,Halma plc,80.0,,anual,🏆 ELITE,🟢 Elite,GBp,GBP,True,True,True,,"FCF declarado (261,262,496) se aparta del derivado de flujo operativo menos capex (409,600,000)",100.0,80.0,50.0,90.0,65.0,,,,,25.6,True,1,14.9,True,2,"{'eps_growth_yoy': 25.6, 'op_growth_yoy': 28.4, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 14.4, 'score_bruto_sin_capar': 100.0, 'satura': False}","{'revenue_growth_yoy': 14.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.3, 'debt_to_equity': 0.42, 'current_ratio': 2.14, 'operating_margin_pct': 20.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 22.3}",3584.0,0,Industrials,Conglomerates,,,False,4902.0,-26.9,0,False,,4385.0,5010.0,3650.0,16,buy,22.3,,,,,reportado,,múltiplo propio 3469x fuera del rango 8-45,,,0.69,24.2,25.0,0.79,,,,9,,,,,11.2,56.0,2026-11-19,False,True,False,7,NEUTRAL,3.68,57.9,1.54,31.8,,,,2026-09-24T05:17:42.721785,FTSE100,,,,,,,,,49.0,0.0,0.0,0.0,3.0,2.79,0.0,CONFIRMED_UPTREND,,,,,,BUY,85,"Upside of 22.3% is realistic, ROE 18.3% and net margin 14.4% indicate strong profitability, debt/equity 0.42 is low, growth 14.9% is solid, and 16 analysts support the target price.",True,"Groq dudaba de current_price, pero la fuente lo confirma (3584.00 publicado vs 3582.00 real (0.1% de desvío))",groq,,,,3441.48,3306.52,4385.0,3.92,27.42,"CAUTION - Already above entry point, wait for pullback",6.99,False,1,0.972,False,-26.92,9.61,-15.66,downtrend,stage1,ESPERAR,En caída (bajo MA200 descendente) — espera a que haga suelo,"las 16 veces anteriores (RSI normal, bajo su MA200 que sube) o paró casi donde estaba o se desplomó hasta -34% — sin término medio; al año el 94% estaba en positivo (mediana +26%).",16,-2.1,-33.5,94,True,"soporte vivo más cercano en 3525.19 (-1.6%), puesto a prueba hace 12 días; aguantó 11 y se rompió 1",3525.19,-1.6,12,11,1,False
GEBN.SW,Geberit AG,72.2,,anual,⭐⭐⭐ EXCELLENT,🟢 Excellent,CHF,CHF,False,True,True,1.0,"FCF declarado (482,224,992) se aparta del derivado de flujo operativo menos capex (686,900,000)",90.0,70.0,50.0,85.0,50.0,,,,,0.1,True,2,2.5,True,2,"{'eps_growth_yoy': 0.1, 'op_growth_yoy': 0.7, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 19.4, 'score_bruto_sin_capar': 90.0, 'satura': False}","{'revenue_growth_yoy': 2.5, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 54.1, 'debt_to_equity': 1.34, 'current_ratio': 1.64, 'operating_margin_pct': 24.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 7.4}",542.4,17551196160,Industrials,Building Products & Equipment,,,False,659.8,-17.8,0,False,,582.35,712.0,465.0,17,hold,7.4,287.36,-47.0,514.55,-5.1,reportado,múltiplo propio,,3.91,21.21,2.35,68.4,12.9,2.35,,,,9,,,,,5.0,40.0,2026-11-03,False,True,False,7,NEUTRAL,4.06,50.1,2.08,18.4,,,,2026-09-24T05:18:17.863042,SMI20,4.0,0.52,False,,,,,,49.9,3.0,5.0,0.0,1.0,0.92,0.0,CONFIRMED_UPTREND,41.9,DISPERSOS,-5.1,33.4,MEDIA,BUY,85,"Upside is modest and realistic; ROE, net margin and debt/equity are all strong; ample analyst coverage supports the target price; no red flags detected.",True,,groq,,,,536.93,515.87,582.35,3.92,8.46,"CAUTION - Already above entry point, wait for pullback",2.16,False,2,1.005,False,-14.86,11.83,-6.14,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 13 veces anteriores (RSI normal, bajo su MA200 que baja) o paró casi donde estaba o se desplomó hasta -30% — sin término medio; al año el 69% estaba en positivo (mediana +21%).",13,-5.1,-30.1,69,True,"soporte vivo más cercano en 534.11 (-2.6%), puesto a prueba hace 7 días; aguantó 2 y se rompió 3",534.11,-2.6,7,2,3,False
LIFCO-B.ST,Lifco AB (publ),68.5,,trimestral,⭐⭐ GOOD,🟡 Good,SEK,SEK,False,True,True,0.9331,acciones × precio no cuadra (ratio 0.9331) pero la divisa sí: son clases múltiples. Se usan 454 M de acciones efectivas (capitalización ÷ precio) en vez de las 424 M declaradas,90.0,70.0,50.0,60.0,50.0,,,,,22.8,True,1,11.0,True,1,"{'eps_growth_yoy': 22.8, 'op_growth_yoy': 19.9, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.2, 'score_bruto_sin_capar': 90.0, 'satura': False}","{'revenue_growth_yoy': 11.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 20.2, 'debt_to_equity': 0.58, 'current_ratio': 0.94, 'operating_margin_pct': 19.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 11.5}",316.2,143623192576,Industrials,Conglomerates,,,False,388.2,-18.5,0,False,,352.43,385.0,330.0,7,none,11.5,175.29,-44.6,325.84,3.0,reportado,múltiplo propio,,3.26,10.31,0.85,31.8,2.7,0.72,False,,,9,,,,,8.9,29.0,2026-10-23,False,True,False,7,NEUTRAL,3.35,164.1,2.23,15.5,,,,2026-09-24T05:18:36.137578,OMXSTO,4.0,0.42,False,,454216295.0,,,,50.4,3.0,0.0,0.0,3.0,1.44,0.0,CONFIRMED_UPTREND,47.6,CONTRADICEN,,56.1,ALTA,BUY,85,"Upside is modest and realistic, fundamentals exceed quality thresholds (ROE 20.2%, net margin 13.2%, debt/equity 0.58), and multiple analysts (7) support the target price, with no red flags detected.",True,,groq,,,,302.94,291.06,352.43,3.92,16.34,"CAUTION - Already above entry point, wait for pullback",4.17,False,1,0.984,False,-17.82,18.95,4.02,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 3 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 1% de mediana (peor caso -8%); al año el 100% estaba en positivo (mediana +29%). ⚠ solo 3 casos, no decide nada",3,-1.3,-8.5,100,False,"soporte vivo más cercano en 310.68 (-1.7%), puesto a prueba hace 36 días; aguantó 12 y se rompió 3",310.68,-1.7,36,12,3,False
DB1.DE,Deutsche Börse AG,63.0,,trimestral,⭐⭐ GOOD,🟡 Good,EUR,EUR,False,True,True,1.0,,75.0,50.0,50.0,80.0,60.0,,,,,8.4,False,0,7.8,False,0,"{'eps_growth_yoy': 8.4, 'op_growth_yoy': 8.2, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 27.3, 'score_bruto_sin_capar': 75.0, 'satura': False}","{'revenue_growth_yoy': 7.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 20.4, 'debt_to_equity': 0.58, 'current_ratio': 1.01, 'operating_margin_pct': 41.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 3.5}",282.3,50895204352,Financial Services,Financial Data & Stock Exchanges,,,False,291.8,-3.3,0,False,,292.15,323.0,252.0,13,buy,3.5,350.84,24.3,226.7,-19.7,reportado,múltiplo propio,,5.08,14.34,1.5,36.2,4.2,1.87,,,,9,,,,,13.7,26.0,2026-10-20,False,True,False,5,NEUTRAL,5.35,65.3,1.52,20.3,,,,2026-09-24T05:17:18.262945,DAX40,4.0,0.1,False,,,,,,51.2,6.0,5.0,0.0,3.0,0.44,0.0,CONFIRMED_UPTREND,44.0,CONTRADICEN,,23.2,MEDIA,BUY,85,"Upside is modest and realistic, fundamentals are strong (ROE 20.4%, net margin 27.3%, debt/equity 0.58), and the target is supported by 13 analysts, with no red flags.",True,,groq,,,,277.54,266.66,292.15,3.92,5.26,"CAUTION - Already above entry point, wait for pullback",1.34,True,3,1.024,False,-4.08,42.32,8.72,uptrend,stage3,VIGILAR,Extendida cerca de máximos — espera un pullback,"las 48 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 6% de mediana (peor caso -34%); al año el 83% estaba en positivo (mediana +18%).",48,-6.1,-34.5,83,False,"soporte vivo más cercano en 270.35 (-3.4%), puesto a prueba hace 13 días; aguantó 4 y se rompió 1",270.35,-3.4,13,4,1,False
AMS.MC,"Amadeus IT Group, S.A.",54.5,,trimestral,⭐ AVERAGE,🟡 Average,EUR,EUR,False,True,True,1.0,,50.0,50.0,50.0,70.0,65.0,,,,,-7.6,False,0,1.5,False,0,"{'eps_growth_yoy': -7.6, 'op_growth_yoy': 0.5, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 19.9, 'score_bruto_sin_capar': 50.0, 'satura': False}","{'revenue_growth_yoy': 1.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 26.5, 'debt_to_equity': 0.79, 'current_ratio': 0.74, 'operating_margin_pct': 28.2}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 27.5}",54.18,22754879488,Technology,Information Technology Services,,,False,69.3,-21.8,0,False,,69.06,82.0,51.0,22,buy,27.5,85.82,58.4,73.55,35.8,reportado,múltiplo propio,,6.07,3.29,2.8,50.8,1.54,1.73,True,-4.6,,9,,20.3,Operating Income,20.4,-2.6,43.0,2026-11-06,False,True,False,7,NEUTRAL,6.92,462.9,,27.3,,,,2026-09-24T05:17:49.885512,IBEX35,4.0,0.46,False,,,,,,55.8,6.0,5.0,3.0,0.0,3.44,0.0,CONFIRMED_UPTREND,22.6,DISPERSOS,35.8,-19.6,,BUY,85,"Strong ROE and net margin, low leverage, and a realistic ~27% upside supported by 22 analysts make the stock attractive despite modest growth.",True,,groq,,,,54.77,52.63,69.06,3.92,26.08,"CAUTION - Already above entry point, wait for pullback",6.68,False,1,0.976,False,-18.41,21.33,1.11,sideways,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 10 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 12% de mediana (peor caso -48%); al año el 60% estaba en positivo (mediana +6%).",10,-11.6,-47.5,60,False,"soporte vivo más cercano en 53.94 (-1.9%), puesto a prueba hace 13 días; aguantó 2 y se rompió 1",53.94,-1.9,13,2,1,False
LR.PA,Legrand SA,77.2,,trimestral,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,90.0,90.0,50.0,75.0,65.0,,,,,23.9,True,1,25.7,True,2,"{'eps_growth_yoy': 23.9, 'op_growth_yoy': 25.6, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 13.0, 'score_bruto_sin_capar': 90.0, 'satura': False}","{'revenue_growth_yoy': 25.7, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 18.2, 'debt_to_equity': 1.03, 'current_ratio': 1.58, 'operating_margin_pct': 19.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 20.6}",138.15,36210991104,Industrials,Electrical Equipment & Parts,,,False,166.95,-17.3,0,False,,166.56,200.0,114.0,18,buy,20.6,86.04,-37.7,102.25,-26.0,reportado,múltiplo propio,,3.64,5.03,1.69,47.9,2.38,1.92,False,-0.31,,9,,10.9,Operating Income,11.3,5.9,42.0,2026-11-05,False,True,False,6,NEUTRAL,4.31,44.5,2.39,36.9,,,,2026-09-24T05:18:27.127469,CAC40,4.0,0.4,False,,,,,True,55.9,3.0,5.0,0.0,3.0,2.58,0.0,CONFIRMED_UPTREND,11.7,COHERENTES,-26.0,52.4,ALTA,BUY,85,"Strong ROE, healthy net margin, low leverage, high growth and a realistic ~20% upside supported by 18 analysts make the stock attractive.",True,"Groq dudaba de rev_growth_yoy, pero la fuente lo confirma (25.7 publicado vs 25.7 real (0.0pp de desvío))",groq,,,,134.49,129.21,166.56,3.92,23.85,"CAUTION - Already above entry point, wait for pullback",6.07,False,2,1.077,False,-14.51,17.04,-3.34,sideways,stage2,VIGILAR,Sobre MA200 pero las medias aún no están apiladas (50>150>200) — falta confirmación,"las 46 veces anteriores (RSI normal, sobre su MA200 que sube) cayó otro 7% de mediana (peor caso -33%); al año el 83% estaba en positivo (mediana +11%).",46,-6.7,-32.8,83,False,"soporte vivo más cercano en 138.65 (-1.3%), puesto a prueba hace 13 días; aguantó 1 y se rompió 4",138.65,-1.3,13,1,4,False
ITX.MC,"Industria de Diseño Textil, S.A.",78.2,,trimestral,⭐⭐⭐ EXCELLENT,🟢 Excellent,EUR,EUR,False,True,True,1.0,,90.0,90.0,50.0,85.0,60.0,,,,,23.0,True,1,33.0,True,1,"{'eps_growth_yoy': 23.0, 'op_growth_yoy': 27.2, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.5, 'score_bruto_sin_capar': 90.0, 'satura': False}","{'revenue_growth_yoy': 33.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 36.8, 'debt_to_equity': 0.35, 'current_ratio': 1.16, 'operating_margin_pct': 18.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 13.9}",53.02,165157797888,Consumer Cyclical,Apparel Retail,,,False,59.42,-10.8,0,False,,60.39,67.0,41.5,24,buy,13.9,47.93,-9.6,49.22,-7.2,reportado,múltiplo propio,,4.68,2.48,1.22,56.7,0.65,2.09,,,,9,,37.5,Operating Income,38.5,8.0,69.0,2026-12-02,False,True,False,7,NEUTRAL,5.01,36.3,2.8,22.6,,,,2026-09-24T05:18:24.669603,IBEX35,4.0,0.33,False,,,,,,57.3,3.0,0.0,0.0,3.0,1.74,0.0,CONFIRMED_UPTREND,2.4,COHERENTES,-7.2,22.3,MEDIA,BUY,85,"Strong ROE (36.8%), healthy net margin (15.5%), low debt/equity (0.35) and high growth (33%). Target price implies a modest 13.9% upside, which is realistic given 24 analyst forecasts. No red flags detected.",True,,groq,,,,52.57,50.51,60.39,3.92,14.87,"CAUTION - Already above entry point, wait for pullback",3.8,False,1,1.005,False,-10.33,23.96,-3.63,sideways,stage4_ma_alcista,ESPERAR,"Ha perdido la MA200, aunque la media sigue subiendo — corrección dentro de tendencia, espera a que la recupere","las 13 veces anteriores (RSI normal, bajo su MA200 que sube) cayó otro 7% de mediana (peor caso -32%); al año el 77% estaba en positivo (mediana +16%).",13,-7.4,-32.5,77,False,"soporte vivo más cercano en 52.97 (-0.6%), puesto a prueba hace 8 días; aguantó 6 y se rompió 1",52.97,-0.6,8,6,1,False
RMV.L,Rightmove plc,73.5,,anual,⭐⭐⭐ EXCELLENT,🟢 Excellent,GBp,GBP,True,True,True,100.0,acciones × precio no cuadra (ratio 100.0000) pero la divisa sí: son clases múltiples. Se usan 7 M de acciones efectivas (capitalización ÷ precio) en vez de las 728 M declaradas,95.0,60.0,50.0,100.0,50.0,,,,,12.6,True,1,9.0,True,1,"{'eps_growth_yoy': 12.6, 'op_growth_yoy': 12.3, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 49.7, 'score_bruto_sin_capar': 95.0, 'satura': False}","{'revenue_growth_yoy': 9.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 282.4, 'debt_to_equity': 0.07, 'current_ratio': 1.53, 'operating_margin_pct': 66.6}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 14.7}",468.0,3406176000,Communication Services,Internet Content & Information,,,False,726.4,-35.6,0,False,,536.75,745.0,356.0,20,hold,14.7,59577.0,12630.1,,,reportado,,múltiplo propio 2269x fuera del rango 8-45,6.73,31.5,2.22,37.2,11.0,1.57,,,,8,,,,,1.7,155.0,2027-02-26,False,True,False,6,NEUTRAL,8.23,632.8,3.18,37.5,,,,2026-09-24T05:18:42.725229,FTSE100,,,,,7278154.0,,,,61.4,6.0,5.0,0.0,1.0,1.84,0.0,CONFIRMED_UPTREND,,,,,,BUY,85,"Strong ROE, high net margin, low debt, solid growth and realistic upside with broad analyst support indicate a compelling buy.",True,,groq,,,,468.89,450.51,536.75,3.92,14.47,"CAUTION - Already above entry point, wait for pullback",3.69,False,2,1.154,False,-33.27,23.83,4.77,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 18 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 11% de mediana (peor caso -32%); al año el 72% estaba en positivo (mediana +8%).",18,-11.1,-32.0,72,False,"soporte vivo más cercano en 474.43 (-2.1%), puesto a prueba hace 0 días; aguantó 2 y se rompió 1",474.43,-2.1,0,2,1,False
ULVR.L,Unilever PLC,59.2,,anual,⭐ AVERAGE,🟡 Average,GBp,EUR,True,True,False,100.0,"acciones × precio no cuadra con la capitalización (ratio 100.0000) y los estados van en EUR mientras cotiza en GBP — puede ser un ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",90.0,30.0,50.0,65.0,50.0,,,,,4.7,True,2,-3.8,False,0,"{'eps_growth_yoy': 4.7, 'op_growth_yoy': -1.5, 'crecimiento_respaldado': True, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 2, 'profit_margin_pct': 18.3, 'score_bruto_sin_capar': 90.0, 'satura': False}","{'revenue_growth_yoy': -3.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': nan, 'rs_6m': nan}","{'roe_pct': 31.9, 'debt_to_equity': 1.75, 'current_ratio': 0.74, 'operating_margin_pct': 20.3}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 13.0}",4677.0,100708188160,Consumer Defensive,Household & Personal Products,,,False,5542.11,-15.6,0,False,,5282.9,6038.4,3924.93,15,hold,13.0,,,,,reportado,,,5.79,270.8,3.51,76.1,165.0,3.57,,,,9,,,,,-2.2,138.0,2027-02-09,False,True,False,7,NEUTRAL,7.85,112.6,,16.9,,,,2026-09-24T05:19:02.811290,FTSE100,,,,,,"acciones × precio no cuadra con la capitalización (ratio 100.0000) y los estados van en EUR mientras cotiza en GBP — puede ser un ADR. Los ratios por acción (EPS, FCF/acción, DCF) no son utilizables",,,64.7,6.0,0.0,0.0,0.0,1.62,15.0,CONFIRMED_UPTREND,,,,,,BUY,85,"Upside is modest and realistic; ROE, net margin and debt/equity meet quality thresholds; analyst coverage is sufficient; despite slight negative growth, fundamentals remain strong, supporting a buy recommendation.",True,"Groq dudaba de current_price, pero la fuente lo confirma (4677.00 publicado vs 4698.00 real (0.4% de desvío))",groq,SENTIMIENTO,"<cite index=""5-1"">Unilever ha mostrado una caída del -20.18% en el último año</cite>, pero <cite index=""15-1,15-2"">entregó un sólido desempeño impulsado por volumen en el primer semestre de 2026, con crecimiento de ventas del 4.8%, siendo 4.2% por volumen</cite>. <cite index=""15-14"">Tras este desemp",https://es.tradingview.com/symbols/LSE-ULVR/ | https://www.investing.com/equities/unilever-ord | https://www.stockopedia.com/share-prices/unilever-LON:ULVR/news/ | https://global.morningstar.com/es/inversiones/acciones/0P00007P0W/cotizacion?bolsa=XLON&ticker=ULVR,4620.09,4438.91,5282.9,3.92,14.35,"CAUTION - Already above entry point, wait for pullback",3.66,False,2,0.666,False,-15.21,28.94,-7.21,uptrend,stage1,VIGILAR,Construyendo base (lateral) — espera la reconquista de las medias,"las 13 veces anteriores (RSI normal, sobre su MA200 que baja) cayó otro 7% de mediana (peor caso -24%); al año el 62% estaba en positivo (mediana +6%).",13,-7.1,-23.5,62,False,"soporte vivo más cercano en 4653.82 (-0.9%), puesto a prueba hace 19 días; aguantó 9 y se rompió 2",4653.82,-0.9,19,9,2,False
